Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
142,2024-08-19 15:22:48.875179,2024-08-19 15:22:49.306860,431.6841,2024-08-19 15:22:49.306863,2024-08-19 15:22:49.620642,313.7811,120649.3331
143,2024-08-19 15:22:49.620654,2024-08-19 15:22:50.086344,465.6939,2024-08-19 15:22:50.086349,2024-08-19 15:22:50.435820,349.4732,121464.5106
144,2024-08-19 15:22:50.435833,2024-08-19 15:22:50.873043,437.2129,2024-08-19 15:22:50.873046,2024-08-19 15:22:51.216097,343.0533,122244.7881
145,2024-08-19 15:22:51.216110,2024-08-19 15:22:51.640214,424.1077,2024-08-19 15:22:51.640218,2024-08-19 15:22:51.966597,326.3826,122995.2898
146,2024-08-19 15:22:51.966612,2024-08-19 15:22:52.386981,420.3731,2024-08-19 15:22:52.386985,2024-08-19 15:22:52.755322,368.3392,123784.0132
147,2024-08-19 15:22:52.755338,2024-08-19 15:22:53.251675,496.3396,2024-08-19 15:22:53.251678,2024-08-19 15:22:53.585050,333.3748,124613.7414
148,2024-08-19 15:22:53.585063,2024-08-19 15:22:54.032079,447.0191,2024-08-19 15:22:54.032082,2024-08-19 15:22:54.358525,326.4451,125387.2162
149,2024-08-19 15:22:54.358539,2024-08-19 15:22:54.791202,432.6657,2024-08-19 15:22:54.791205,2024-08-19 15:22:55.137468,346.2646,126166.1585
150,2024-08-19 15:22:55.137480,2024-08-19 15:22:55.583360,445.8823,2024-08-19 15:22:55.583362,2024-08-19 15:22:55.917671,334.3125,126946.3638
151,2024-08-19 15:22:55.917686,2024-08-19 15:22:56.350087,432.404,2024-08-19 15:22:56.350090,2024-08-19 15:22:56.666826,316.738,127695.5175
152,2024-08-19 15:22:56.666842,2024-08-19 15:22:57.101985,435.1461,2024-08-19 15:22:57.101989,2024-08-19 15:22:57.416964,314.9787,128445.6566
153,2024-08-19 15:22:57.416982,2024-08-19 15:22:57.899569,482.5905,2024-08-19 15:22:57.899573,2024-08-19 15:22:58.214616,315.0464,129243.3086
154,2024-08-19 15:22:58.214656,2024-08-19 15:22:58.663321,448.667,2024-08-19 15:22:58.663324,2024-08-19 15:22:58.980733,317.4109,130009.4235
155,2024-08-19 15:22:58.980746,2024-08-19 15:22:59.411827,431.0837,2024-08-19 15:22:59.411830,2024-08-19 15:22:59.739825,327.9991,130768.518
156,2024-08-19 15:22:59.739853,2024-08-19 15:23:00.172776,432.9271,2024-08-19 15:23:00.172780,2024-08-19 15:23:00.496208,323.4306,131524.8996
157,2024-08-19 15:23:00.496222,2024-08-19 15:23:00.975606,479.3884,2024-08-19 15:23:00.975610,2024-08-19 15:23:01.327062,351.4535,132355.7528
158,2024-08-19 15:23:01.327073,2024-08-19 15:23:01.770552,443.4816,2024-08-19 15:23:01.770555,2024-08-19 15:23:02.092252,321.6985,133120.9426
159,2024-08-19 15:23:02.092264,2024-08-19 15:23:02.528999,436.7376,2024-08-19 15:23:02.529002,2024-08-19 15:23:02.850438,321.4378,133879.1288
160,2024-08-19 15:23:02.850450,2024-08-19 15:23:03.289190,438.742,2024-08-19 15:23:03.289193,2024-08-19 15:23:03.605981,316.7905,134634.6723
161,2024-08-19 15:23:03.605999,2024-08-19 15:23:04.158973,552.9776,2024-08-19 15:23:04.158978,2024-08-19 15:23:04.490792,331.8183,135519.4852
162,2024-08-19 15:23:04.490814,2024-08-19 15:23:04.938767,447.9574,2024-08-19 15:23:04.938772,2024-08-19 15:23:05.267383,328.6142,136296.0757
163,2024-08-19 15:23:05.267401,2024-08-19 15:23:05.709948,442.5509,2024-08-19 15:23:05.709953,2024-08-19 15:23:06.036764,326.8157,137065.4572
164,2024-08-19 15:23:06.036783,2024-08-19 15:23:06.478349,441.5737,2024-08-19 15:23:06.478358,2024-08-19 15:23:06.797668,319.3146,137826.3613
165,2024-08-19 15:23:06.797691,2024-08-19 15:23:07.221739,424.0512,2024-08-19 15:23:07.221743,2024-08-19 15:23:07.551819,330.0777,138580.5097
166,2024-08-19 15:23:07.551831,2024-08-19 15:23:08.015865,464.0372,2024-08-19 15:23:08.015869,2024-08-19 15:23:08.335271,319.4043,139363.9621
